Network,Class,Degree
1000,Polycystinea,1
1000,Polycystinea,3
1000,RAD-B,4
1000,Arthropoda,5
1000,Dinophyceae,2
1000,Acantharea,4
1000,RAD-B,5
1000,RAD-B,8
1000,RAD-B,3
1000,RAD-B,7
1000,Dinophyceae,5
1000,RAD-B,4
1000,Polycystinea,3
1000,Polycystinea,4
1000,Polycystinea,5
1000,Dinophyceae,6
1000,Polycystinea,7
1000,RAD-B,2
1000,Polycystinea,4
1000,Dinophyceae,3
1000,RAD-B,6
1000,RAD-B,2
1000,Polycystinea,4
1000,RAD-B,5
1000,Dinophyceae,6
1000,Acantharea,2
1000,RAD-B,5
1000,RAD-B,8
1,Syndiniales,9
1,Syndiniales,3
1,Syndiniales,4
1,Syndiniales,3
1,Syndiniales,3
1,Syndiniales,3
1,Syndiniales,3
1,Syndiniales,5
1,Syndiniales,4
1,Syndiniales,7
1,Syndiniales,1
1,Syndiniales,6
1,Syndiniales,2
1,Syndiniales,2
1,Syndiniales,3
1,Syndiniales,4
1,Syndiniales,4
1,Syndiniales,4
1,Syndiniales,5
1,Syndiniales,12
1,Syndiniales,5
1,Syndiniales,4
1,Syndiniales,3
1,Syndiniales,4
40,Syndiniales,2
40,Syndiniales,1
40,Syndiniales,7
40,Syndiniales,2
40,Syndiniales,4
40,Syndiniales,2
40,Syndiniales,10
40,Syndiniales,3
40,Syndiniales,4
40,Syndiniales,9
40,Syndiniales,3
40,Syndiniales,4
40,Syndiniales,7
40,Syndiniales,4
40,Syndiniales,5
40,Syndiniales,4
40,Syndiniales,4
40,Syndiniales,8
40,Syndiniales,5
40,Syndiniales,1
40,Syndiniales,4
40,Syndiniales,2
40,Syndiniales,2
40,Syndiniales,1
40,Syndiniales,3
40,Syndiniales,3
40,Syndiniales,2
40,Syndiniales,4
40,Syndiniales,2
40,Syndiniales,3
40,Syndiniales,4
40,Syndiniales,1
40,Syndiniales,5
40,Syndiniales,3
40,Syndiniales,4
40,Syndiniales,4
40,Syndiniales,3
40,Syndiniales,4
40,Syndiniales,2
40,Syndiniales,2
80,Syndiniales,6
80,Syndiniales,12
80,Syndiniales,6
80,Syndiniales,7
80,Syndiniales,1
80,Syndiniales,2
80,Syndiniales,4
80,Syndiniales,2
80,Syndiniales,6
80,Syndiniales,5
80,Syndiniales,2
80,Syndiniales,4
80,Syndiniales,6
80,Syndiniales,3
80,Syndiniales,2
80,Syndiniales,2
80,Syndiniales,2
80,Syndiniales,3
80,Syndiniales,2
80,Syndiniales,2
80,Syndiniales,5
80,Syndiniales,4
80,Syndiniales,1
80,Syndiniales,5
80,Syndiniales,3
80,Syndiniales,4
120,Syndiniales,1
120,Syndiniales,2
120,Syndiniales,4
120,Syndiniales,1
120,Syndiniales,4
120,Syndiniales,1
120,Syndiniales,8
120,Syndiniales,3
120,Syndiniales,3
120,Syndiniales,2
120,Syndiniales,5
120,Syndiniales,4
120,Syndiniales,6
120,Syndiniales,3
120,Syndiniales,5
120,Syndiniales,5
120,Syndiniales,3
120,Syndiniales,7
120,Syndiniales,5
120,Syndiniales,4
120,Syndiniales,5
120,Syndiniales,3
120,Syndiniales,1
120,Syndiniales,5
120,Syndiniales,5
120,Syndiniales,3
120,Syndiniales,2
120,Syndiniales,5
160,Syndiniales,5
160,Syndiniales,1
160,Syndiniales,4
160,Syndiniales,7
160,Syndiniales,1
160,Syndiniales,2
160,Syndiniales,6
160,Syndiniales,4
160,Syndiniales,2
160,Syndiniales,2
160,Syndiniales,6
160,Syndiniales,3
160,Syndiniales,3
160,Syndiniales,1
160,Syndiniales,2
160,Syndiniales,2
160,Syndiniales,4
160,Syndiniales,4
160,Syndiniales,4
160,Syndiniales,3
160,Syndiniales,5
160,Syndiniales,9
160,Syndiniales,6
160,Syndiniales,4
160,Syndiniales,3
160,Syndiniales,7
160,Syndiniales,7
160,Syndiniales,7
160,Syndiniales,2
160,Syndiniales,5
200,Syndiniales,3
200,Syndiniales,7
200,Syndiniales,1
200,Syndiniales,3
200,Syndiniales,6
200,Syndiniales,2
200,Syndiniales,2
200,Syndiniales,3
200,Syndiniales,3
200,Syndiniales,2
200,Syndiniales,2
200,Syndiniales,3
200,Syndiniales,6
200,Syndiniales,3
200,Syndiniales,4
200,Syndiniales,2
200,Syndiniales,5
200,Syndiniales,3
200,Syndiniales,2
200,Syndiniales,3
200,Syndiniales,4
200,Syndiniales,3
200,Syndiniales,5
200,Syndiniales,3
200,Syndiniales,4
200,Syndiniales,5
200,Syndiniales,2
